일시,기온(°C),풍향(deg),풍속(m/s),강수량(mm),습도(%)
2018-01-17 3:00,3.8,353.4,0.6,1.5,97.2
2018-01-17 4:00,3.7,25.7,1.3,2.5,97.8
2018-01-17 5:00,3.4,26.7,1.3,2,97.9
2018-01-17 6:00,2.8,29.8,1.2,2,97.3
2018-01-17 7:00,2.1,34.8,1.7,1.5,96.9
2018-01-17 8:00,1.7,123.7,0.7,1,97.2
2018-01-17 9:00,2.2,143.3,0.6,0,97.7
2018-01-17 10:00,3.2,0,0.4,0.5,97.6
2018-01-17 11:00,3.7,307.4,1.5,0,95.9
2018-01-17 12:00,3.9,305,0.6,0,95.5
2018-01-17 13:00,4.7,201.1,0.7,0,91.9
2018-01-17 14:00,5.2,234,1.2,0,88.7
2018-01-17 15:00,5.3,0,0.2,0,85.8
2018-01-17 16:00,6.3,112.1,1,0,85.1
2018-01-17 17:00,5.7,0,0.4,0,86.6
2018-01-17 18:00,6.1,285.4,1.1,0,86.2
2018-01-17 19:00,5.6,190.1,1.2,0,86.5
2018-01-17 20:00,5.4,156.2,0.7,0,88.1
2018-01-17 21:00,5,0,0.2,0,88.5
2018-01-17 22:00,3.6,196.1,0.7,0,91.8
2018-01-17 23:00,4.5,219.6,1.3,0,92.8
2018-01-18 0:00,4.3,231.4,1.3,0,91.6
2018-01-18 1:00,4.4,257,0.6,0,92
2018-01-18 2:00,4.5,184,1.1,0,91.5
2018-01-18 3:00,4.4,244.4,0.5,0,91.7
2018-01-18 4:00,4.3,215.9,1,0,94.1
2018-01-18 5:00,4.4,282.1,0.6,0,95.1
2018-01-18 6:00,4.3,0,0.3,0,95.3
2018-01-18 7:00,4.1,0,0.4,0,95.5
2018-01-18 8:00,3.8,175.8,0.5,0,96
2018-01-18 9:00,4.1,40.6,1.5,0,95.3
2018-01-18 10:00,4.1,348.4,1.2,0,85.7
2018-01-18 11:00,5,320.8,1.3,0,73.3
2018-01-18 12:00,5.8,332.2,2,0,55.7
